Subgrupo,Data,Tempo,1,2,3,4,5
1,Sept. 21,09:30:00,624,638,638,680,666
2,Sept. 21,10:50:00,581,638,638,652,610
3,Sept. 21,11:45:00,567,581,652,624,610
4,Sept. 21,14:30:00,595,624,624,652,624
5,Sept. 21,17:25:00,638,553,638,624,595
6,Sept. 22,10:00:00,652,666,595,624,567
7,Sept. 22,13:15:00,539,567,624,581,638
8,Sept. 22,17:00:00,610,581,539,553,553
9,Sept. 23,09:30:00,595,638,567,624,624
10,Sept. 23,13:15:00,610,652,624,652,524
11,Sept. 23,13:45:00,567,553,595,567,581
12,Sept. 23,15:30:00,539,595,595,595,581
13,Sept. 25,08:00:00,553,581,595,581,595
14,Sept. 25,10:25:00,567,610,680,652,567
15,Sept. 25,11:30:00,638,553,595,610,595
16,Sept. 25,14:30:00,610,581,624,610,666
17,Sept. 25,15:15:00,539,610,652,595,666
18,Sept. 25,17:30:00,595,581,553,624,595
19,Sept. 26,14:00:00,567,666,680,581,610
20,Sept. 26,15:00:00,624,581,595,638,567
21,Sept. 26,16:45:00,539,581,595,581,638
22,Sept. 27,07:30:00,610,709,595,539,595
23,Sept. 27,08:35:00,638,624,652,624,666
24,Sept. 27,10:40:00,638,624,624,553,581
25,Sept. 27,13:45:00,524,624,638,595,610
26,Sept. 27,15:30:00,610,581,581,468,610
27,Sept. 27,16:00:00,680,624,496,595,638
28,Sept. 28,07:15:00,624,496,595,624,666
29,Sept. 28,07:45:00,624,567,581,680,610
30,Sept. 28,10:00:00,638,595,553,610,638
31,Sept. 28,13:15:00,567,624,567,610,567
32,Sept. 28,15:30:00,595,553,624,567,567
33,Sept. 29,09:00:00,638,610,595,610,666
34,Sept. 29,10:50:00,624,595,595,581,595
35,Sept. 29,13:15:00,709,567,567,581,638
36,Sept. 29,14:30:00,581,595,595,539,595
37,Sept. 29,16:10:00,610,624,624,567,595
38,Sept. 29,17:20:00,610,624,610,581,638
39,Sept. 30,09:30:00,638,695,723,567,595
40,Sept. 30,11:15:00,610,680,610,610,638
41,Sept. 30,14:10:00,652,666,595,610,610
42,Sept. 30,15:30:00,638,553,610,581,567
43,Oct. 2,08:20:00,666,652,695,610,581
44,Oct. 2,14:30:00,595,595,695,652,638
45,Oct. 2,15:30:00,695,610,610,638,638
46,Oct. 2,17:00:00,680,595,680,624,581
47,Oct. 3,09:15:00,666,638,567,567,595
48,Oct. 3,10:00:00,624,581,595,638,652
49,Oct. 3,13:00:00,624,666,680,624,624
50,Oct. 3,15:00:00,666,595,666,610,652
